
*
*hpt
Name, HPV Address, PrintType, divisor, multiplier, coherent, help
State 1 RTS Delivered StdDev,0x800,32bits,256,0,Coherent RTS Data,(32 bits),
State 1 RTS Gamma Mag Squared Min,0x220,16bits,1000,0,Coherent RTS Data,,
State 1 RTS Gamma Mag Squared Max,0x224,16bits,1000,0,Coherent RTS Data,,
State 1 RTS Gamma Mag Squared Mean,0x228,16bits,1000,0,Coherent RTS Data,,
State 1 RTS Gamma Mag Squared StdDev,0x22c,16bits,10000,0,Coherent RTS Data,,
State 2 RTS Forward Min,0x201,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward Min,0x751,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Forward Max,0x205,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward Max,0x761,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Forward Mean,0x209,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward Mean,0x771,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Forward StdDev,0x20d,16bits,100,0,Coherent RTS Data,(16 bits),
State 2 RTS Forward StdDev,0x781,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse Min,0x211,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse Min,0x791,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse Max,0x215,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse Max,0x7a1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse Mean,0x219,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse Mean,0x7b1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Reverse StdDev,0x21d,16bits,100,0,Coherent RTS Data,(16 bits),
State 2 RTS Reverse StdDev,0x7c1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered Min,0x241,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered Min,0x7d1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered Max,0x245,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered Max,0x7e1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered Mean,0x249,16bits,0,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered Mean,0x7f1,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Delivered StdDev,0x24d,16bits,100,0,Coherent RTS Data,(16 bits),
State 2 RTS Delivered StdDev,0x801,32bits,256,0,Coherent RTS Data,(32 bits),
State 2 RTS Gamma Mag Squared Min,0x221,16bits,1000,0,Coherent RTS Data,,
State 2 RTS Gamma Mag Squared Max,0x225,16bits,1000,0,Coherent RTS Data,,
State 2 RTS Gamma Mag Squared Mean,0x229,16bits,1000,0,Coherent RTS Data,,
State 2 RTS Gamma Mag Squared StdDev,0x22d,16bits,10000,0,Coherent RTS Data,,
State 3 RTS Forward Min,0x202,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward Min,0x752,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Forward Max,0x206,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward Max,0x762,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Forward Mean,0x20a,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward Mean,0x772,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Forward StdDev,0x20e,16bits,100,0,Coherent RTS Data,(16 bits),
State 3 RTS Forward StdDev,0x782,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse Min,0x212,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse Min,0x792,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse Max,0x216,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse Max,0x7a2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse Mean,0x21a,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse Mean,0x7b2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Reverse StdDev,0x21e,16bits,100,0,Coherent RTS Data,(16 bits),
State 3 RTS Reverse StdDev,0x7c2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered Min,0x242,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered Min,0x7d2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered Max,0x246,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered Max,0x7e2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered Mean,0x24a,16bits,0,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered Mean,0x7f2,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Delivered StdDev,0x24e,16bits,100,0,Coherent RTS Data,(16 bits),
State 3 RTS Delivered StdDev,0x802,32bits,256,0,Coherent RTS Data,(32 bits),
State 3 RTS Gamma Mag Squared Min,0x222,16bits,1000,0,Coherent RTS Data,,
State 3 RTS Gamma Mag Squared Max,0x226,16bits,1000,0,Coherent RTS Data,,
State 3 RTS Gamma Mag Squared Mean,0x22a,16bits,1000,0,Coherent RTS Data,,
State 3 RTS Gamma Mag Squared StdDev,0x22e,16bits,10000,0,Coherent RTS Data,,
State 4 RTS Forward Min,0x203,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Forward Min,0x753,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Forward Max,0x207,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Forward Max,0x763,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Forward Mean,0x20b,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Forward Mean,0x773,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Forward StdDev,0x20f,16bits,100,0,Coherent RTS Data,(16 bits),
State 4 RTS Forward StdDev,0x783,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Reverse Min,0x213,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Reverse Min,0x793,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Reverse Max,0x217,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Reverse Max,0x7a3,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Reverse Mean,0x21b,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Reverse Mean,0x7b3,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Reverse StdDev,0x21f,16bits,100,0,Coherent RTS Data,(16 bits),
State 4 RTS Reverse StdDev,0x7c3,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Delivered Min,0x243,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Delivered Min,0x7d3,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Delivered Max,0x247,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Delivered Max,0x7e3,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Delivered Mean,0x24b,16bits,0,0,Coherent RTS Data,(16 bits),
State 4 RTS Delivered Mean,0x7f3,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Delivered StdDev,0x24f,16bits,100,0,Coherent RTS Data,(16 bits),
State 4 RTS Delivered StdDev,0x803,32bits,256,0,Coherent RTS Data,(32 bits),
State 4 RTS Gamma Mag Squared Min,0x223,16bits,1000,0,Coherent RTS Data,,
State 4 RTS Gamma Mag Squared Max,0x227,16bits,1000,0,Coherent RTS Data,,
State 4 RTS Gamma Mag Squared Mean,0x22b,16bits,1000,0,Coherent RTS Data,,
State 4 RTS Gamma Mag Squared StdDev,0x22f,16bits,10000,0,Coherent RTS Data,,
JTE Timestamp of coherent data,0x8a0,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Timestamp of coherent data,
JTE Temperature Mean,0x8a1,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Temperature Mean (degrees C),
JTE Temperature Max,0x8a2,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Temperature Max (degrees C),
JTE Power Dissipation Mean,0x8a3,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Power Dissipation Mean (W),
JTE Power Dissipation Max,0x8a4,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Power Dissipation Max (W),
JTE Current Mean,0x8a5,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Current Mean (A),
JTE Current Max,0x8a6,32bits,1,0,Junction Temperature Estimator Statistics Coherent Data,JTE Current Max (A),
Main Cap Position,0x8d0,16bits,1,0,No,Main Cap Position,
Aux Cap Position,0x8d1,16bits,1,0,No,Aux Cap Position,
State 1 Reflection Ratio Bias Cycles,0x8b0,16bits,1000,0,Coherent Timbers Data,Ratio of the Reflection Ratio in the negative half cycle to the positive half cycle,
State 1 Delivered Power Ratio Bias Cycles,0x8c0,16bits,1000,0,Coherent Timbers Data,Ratio of the delivered power in the negative half cycle to the positive half cycle,
State 1 Positive Average Delivered Power,0x900,32bits,256,0,Coherent Timbers Data,(32 bits),
State 1 Positive Peak Reflected Power,0x910,32bits,256,0,Coherent Timbers Data,(32 bits),
State 1 Positive Average VSWR,0x920,16bits,100,0,Coherent Timbers Data,(16 bits),
State 1 Negative Average Delivered Power,0x930,32bits,256,0,Coherent Timbers Data,(32 bits),
State 1 Negative Peak Reflected Power,0x940,32bits,256,0,Coherent Timbers Data,(32 bits),
State 1 Negative Average VSWR,0x950,16bits,100,0,Coherent Timbers Data,(16 bits),
State 1 Bin 0 Feedback,0xa00,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 1 Feedback,0xa01,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 2 Feedback,0xa02,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 3 Feedback,0xa03,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 4 Feedback,0xa04,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 5 Feedback,0xa05,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 6 Feedback,0xa06,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 7 Feedback,0xa07,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 8 Feedback,0xa08,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 9 Feedback,0xa09,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 10 Feedback,0xa0a,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 11 Feedback,0xa0b,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 12 Feedback,0xa0c,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 13 Feedback,0xa0d,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 14 Feedback,0xa0e,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 15 Feedback,0xa0f,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 16 Feedback,0xa10,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 17 Feedback,0xa11,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 18 Feedback,0xa12,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bin 19 Feedback,0xa13,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Reflection Ratio Bias Cycles,0x8b1,16bits,1000,0,Coherent Timbers Data,Ratio of the Reflection Ratio in the negative half cycle to the positive half cycle,
State 2 Delivered Power Ratio Bias Cycles,0x8c1,16bits,1000,0,Coherent Timbers Data,Ratio of the delivered power in the negative half cycle to the positive half cycle,
State 2 Positive Average Delivered Power,0x901,32bits,256,0,Coherent Timbers Data,(32 bits),
State 2 Positive Peak Reflected Power,0x911,32bits,256,0,Coherent Timbers Data,(32 bits),
State 2 Positive Average VSWR,0x921,16bits,100,0,Coherent Timbers Data,(16 bits),
State 2 Negative Average Delivered Power,0x931,32bits,256,0,Coherent Timbers Data,(32 bits),
State 2 Negative Peak Reflected Power,0x941,32bits,256,0,Coherent Timbers Data,(32 bits),
State 2 Negative Average VSWR,0x951,16bits,100,0,Coherent Timbers Data,(16 bits),
State 2 Bin 0 Feedback,0xa14,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 1 Feedback,0xa15,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 2 Feedback,0xa16,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 3 Feedback,0xa17,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 4 Feedback,0xa18,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 5 Feedback,0xa19,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 6 Feedback,0xa1a,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 7 Feedback,0xa1b,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 8 Feedback,0xa1c,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 9 Feedback,0xa1d,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 10 Feedback,0xa1e,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 11 Feedback,0xa1f,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 12 Feedback,0xa20,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 13 Feedback,0xa21,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 14 Feedback,0xa22,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 15 Feedback,0xa23,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 16 Feedback,0xa24,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 17 Feedback,0xa25,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 18 Feedback,0xa26,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 2 Bin 19 Feedback,0xa27,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Reflection Ratio Bias Cycles,0x8b2,16bits,1000,0,Coherent Timbers Data,Ratio of the Reflection Ratio in the negative half cycle to the positive half cycle,
State 3 Delivered Power Ratio Bias Cycles,0x8c2,16bits,1000,0,Coherent Timbers Data,Ratio of the delivered power in the negative half cycle to the positive half cycle,
State 3 Positive Average Delivered Power,0x902,32bits,256,0,Coherent Timbers Data,(32 bits),
State 3 Positive Peak Reflected Power,0x912,32bits,256,0,Coherent Timbers Data,(32 bits),
State 3 Positive Average VSWR,0x922,16bits,100,0,Coherent Timbers Data,(16 bits),
State 3 Negative Average Delivered Power,0x932,32bits,256,0,Coherent Timbers Data,(32 bits),
State 3 Negative Peak Reflected Power,0x942,32bits,256,0,Coherent Timbers Data,(32 bits),
State 3 Negative Average VSWR,0x952,16bits,100,0,Coherent Timbers Data,(16 bits),
State 3 Bin 0 Feedback,0xa28,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 1 Feedback,0xa29,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 2 Feedback,0xa2a,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 3 Feedback,0xa2b,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 4 Feedback,0xa2c,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 5 Feedback,0xa2d,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 6 Feedback,0xa2e,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 7 Feedback,0xa2f,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 8 Feedback,0xa30,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 9 Feedback,0xa31,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 10 Feedback,0xa32,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 11 Feedback,0xa33,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 12 Feedback,0xa34,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 13 Feedback,0xa35,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 14 Feedback,0xa36,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 15 Feedback,0xa37,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 16 Feedback,0xa38,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 17 Feedback,0xa39,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 18 Feedback,0xa3a,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 3 Bin 19 Feedback,0xa3b,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Reflection Ratio Bias Cycles,0x8b3,16bits,1000,0,Coherent Timbers Data,Ratio of the Reflection Ratio in the negative half cycle to the positive half cycle,
State 4 Delivered Power Ratio Bias Cycles,0x8c3,16bits,1000,0,Coherent Timbers Data,Ratio of the delivered power in the negative half cycle to the positive half cycle,
State 4 Positive Average Delivered Power,0x903,32bits,256,0,Coherent Timbers Data,(32 bits),
State 4 Positive Peak Reflected Power,0x913,32bits,256,0,Coherent Timbers Data,(32 bits),
State 4 Positive Average VSWR,0x923,16bits,100,0,Coherent Timbers Data,(16 bits),
State 4 Negative Average Delivered Power,0x933,32bits,256,0,Coherent Timbers Data,(32 bits),
State 4 Negative Peak Reflected Power,0x943,32bits,256,0,Coherent Timbers Data,(32 bits),
State 4 Negative Average VSWR,0x953,16bits,100,0,Coherent Timbers Data,(16 bits),
State 4 Bin 0 Feedback,0xa3c,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 1 Feedback,0xa3d,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 2 Feedback,0xa3e,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 3 Feedback,0xa3f,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 4 Feedback,0xa40,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 5 Feedback,0xa41,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 6 Feedback,0xa42,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 7 Feedback,0xa43,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 8 Feedback,0xa44,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 9 Feedback,0xa45,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 10 Feedback,0xa46,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 11 Feedback,0xa47,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 12 Feedback,0xa48,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 13 Feedback,0xa49,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 14 Feedback,0xa4a,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 15 Feedback,0xa4b,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 16 Feedback,0xa4c,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 17 Feedback,0xa4d,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 18 Feedback,0xa4e,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 4 Bin 19 Feedback,0xa4f,32bits,1000,0,Coherent Timbers Data,(32 bits),
State 1 Bias Frequency,0xaf0,32bits,100,0,No,(32 bits),
State 1 Bias Sync Active,0xaf8,16bits,1,0,No,(16 bits),
Pyramid Tuner Feedback,0x74,16bits,1000,0,No,,
State 1 Bin 0 Actuator,0x960,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 1 Actuator,0x961,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 2 Actuator,0x962,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 3 Actuator,0x963,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 4 Actuator,0x964,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 5 Actuator,0x965,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 6 Actuator,0x966,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 7 Actuator,0x967,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 8 Actuator,0x968,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 9 Actuator,0x969,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 10 Actuator,0x96a,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 11 Actuator,0x96b,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 12 Actuator,0x96c,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 13 Actuator,0x96d,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 14 Actuator,0x96e,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 15 Actuator,0x96f,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 16 Actuator,0x970,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 17 Actuator,0x971,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 18 Actuator,0x972,32bits,1,0,Coherent Timbers Actuator,,
State 1 Bin 19 Actuator,0x973,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 0 Actuator,0x974,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 1 Actuator,0x975,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 2 Actuator,0x976,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 3 Actuator,0x977,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 4 Actuator,0x978,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 5 Actuator,0x979,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 6 Actuator,0x97a,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 7 Actuator,0x97b,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 8 Actuator,0x97c,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 9 Actuator,0x97d,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 10 Actuator,0x97e,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 11 Actuator,0x97f,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 12 Actuator,0x980,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 13 Actuator,0x981,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 14 Actuator,0x982,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 15 Actuator,0x983,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 16 Actuator,0x984,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 17 Actuator,0x985,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 18 Actuator,0x986,32bits,1,0,Coherent Timbers Actuator,,
State 2 Bin 19 Actuator,0x987,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 0 Actuator,0x988,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 1 Actuator,0x989,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 2 Actuator,0x98a,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 3 Actuator,0x98b,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 4 Actuator,0x98c,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 5 Actuator,0x98d,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 6 Actuator,0x98e,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 7 Actuator,0x98f,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 8 Actuator,0x990,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 9 Actuator,0x991,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 10 Actuator,0x992,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 11 Actuator,0x993,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 12 Actuator,0x994,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 13 Actuator,0x995,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 14 Actuator,0x996,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 15 Actuator,0x997,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 16 Actuator,0x998,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 17 Actuator,0x999,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 18 Actuator,0x99a,32bits,1,0,Coherent Timbers Actuator,,
State 3 Bin 19 Actuator,0x99b,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 0 Actuator,0x99c,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 1 Actuator,0x99d,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 2 Actuator,0x99e,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 3 Actuator,0x99f,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 4 Actuator,0x9a0,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 5 Actuator,0x9a1,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 6 Actuator,0x9a2,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 7 Actuator,0x9a3,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 8 Actuator,0x9a4,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 9 Actuator,0x9a5,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 10 Actuator,0x9a6,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 11 Actuator,0x9a7,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 12 Actuator,0x9a8,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 13 Actuator,0x9a9,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 14 Actuator,0x9aa,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 15 Actuator,0x9ab,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 16 Actuator,0x9ac,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 17 Actuator,0x9ad,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 18 Actuator,0x9ae,32bits,1,0,Coherent Timbers Actuator,,
State 4 Bin 19 Actuator,0x9af,32bits,1,0,Coherent Timbers Actuator,,
State 1 Timbers State Machine State,0xaa0,16bits,0,0,No,,
State 1 Pyramid State Machine State,0xab0,16bits,0,0,No,,
State 1 Delay Tuner State Machine State,0xac0,16bits,0,0,No,,
State 1 Timbers Status Vector,0xad0,32bits,0,0,No,,
State 2 Timbers State Machine State,0xaa1,16bits,0,0,No,,
State 2 Pyramid State Machine State,0xab1,16bits,0,0,No,,
State 2 Delay Tuner State Machine State,0xac1,16bits,0,0,No,,
State 2 Timbers Status Vector,0xad1,32bits,0,0,No,,
State 3 Timbers State Machine State,0xaa2,16bits,0,0,No,,
State 3 Pyramid State Machine State,0xab2,16bits,0,0,No,,
State 3 Delay Tuner State Machine State,0xac2,16bits,0,0,No,,
State 3 Timbers Status Vector,0xad2,32bits,0,0,No,,
State 4 Timbers State Machine State,0xaa3,16bits,0,0,No,,
State 4 Pyramid State Machine State,0xab3,16bits,0,0,No,,
